group,phase,instance,alpha,tenure,run,seed,of,elapsed_s
large,alpha_sweep,MDG-a_6_n500_m50.txt,0.9,15,1,43,7682.77,10.036
large,alpha_sweep,MDG-a_6_n500_m50.txt,0.9,15,2,44,7638.54,10.008
large,alpha_sweep,MDG-a_9_n500_m50.txt,0.9,15,0,42,7711.79,10.034
large,alpha_sweep,MDG-a_9_n500_m50.txt,0.9,15,1,43,7696.73,10.014
large,alpha_sweep,MDG-a_9_n500_m50.txt,0.9,15,2,44,7642.04,10.017
large,alpha_sweep,MDG-a_13_n500_m50.txt,0.9,15,0,42,7765.68,10.03
large,alpha_sweep,MDG-a_13_n500_m50.txt,0.9,15,1,43,7725.98,10.013
large,alpha_sweep,MDG-a_13_n500_m50.txt,0.9,15,2,44,7780.22,10.041
large,alpha_sweep,MDG-a_2_n500_m50.txt,-1,15,0,42,7710.04,10.048
large,alpha_sweep,MDG-a_2_n500_m50.txt,-1,15,1,43,7607.59,10.019
large,alpha_sweep,MDG-a_2_n500_m50.txt,-1,15,2,44,7694.32,10.02
large,alpha_sweep,MDG-a_5_n500_m50.txt,-1,15,0,42,7631.45,10.01
large,alpha_sweep,MDG-a_5_n500_m50.txt,-1,15,1,43,7680.73,10.01
large,alpha_sweep,MDG-a_5_n500_m50.txt,-1,15,2,44,7648.65,10.042
large,alpha_sweep,MDG-a_6_n500_m50.txt,-1,15,0,42,7663.42,10.028
large,alpha_sweep,MDG-a_6_n500_m50.txt,-1,15,1,43,7684.24,10.04
large,alpha_sweep,MDG-a_6_n500_m50.txt,-1,15,2,44,7678.78,10.05
large,alpha_sweep,MDG-a_9_n500_m50.txt,-1,15,0,42,7728.01,10.02
large,alpha_sweep,MDG-a_9_n500_m50.txt,-1,15,1,43,7637.94,10.042
large,alpha_sweep,MDG-a_9_n500_m50.txt,-1,15,2,44,7716.39,10.045
large,alpha_sweep,MDG-a_13_n500_m50.txt,-1,15,0,42,7732.33,10.038
large,alpha_sweep,MDG-a_13_n500_m50.txt,-1,15,1,43,7698.01,10.032
large,alpha_sweep,MDG-a_13_n500_m50.txt,-1,15,2,44,7699.42,10.024
large,tenure_sweep,MDG-a_2_n500_m50.txt,0.9,5,0,42,7679.13,10.072
large,tenure_sweep,MDG-a_2_n500_m50.txt,0.9,5,1,43,7756.24,10.037
large,tenure_sweep,MDG-a_2_n500_m50.txt,0.9,5,2,44,7694.15,10.004
large,tenure_sweep,MDG-a_5_n500_m50.txt,0.9,5,0,42,7662.45,10.034
large,tenure_sweep,MDG-a_5_n500_m50.txt,0.9,5,1,43,7711.42,10.04
large,tenure_sweep,MDG-a_5_n500_m50.txt,0.9,5,2,44,7578.52,10.049
large,tenure_sweep,MDG-a_6_n500_m50.txt,0.9,5,0,42,7726.58,10.019
large,tenure_sweep,MDG-a_6_n500_m50.txt,0.9,5,1,43,7681.28,10.009
large,tenure_sweep,MDG-a_6_n500_m50.txt,0.9,5,2,44,7651.19,10.005
large,tenure_sweep,MDG-a_9_n500_m50.txt,0.9,5,0,42,7732.88,10.028
large,tenure_sweep,MDG-a_9_n500_m50.txt,0.9,5,1,43,7696.73,10.01
large,tenure_sweep,MDG-a_9_n500_m50.txt,0.9,5,2,44,7602.78,10.02
large,tenure_sweep,MDG-a_13_n500_m50.txt,0.9,5,0,42,7740.16,10.046
large,tenure_sweep,MDG-a_13_n500_m50.txt,0.9,5,1,43,7732.65,10.018
large,tenure_sweep,MDG-a_13_n500_m50.txt,0.9,5,2,44,7619.12,10.039
large,tenure_sweep,MDG-a_2_n500_m50.txt,0.9,10,0,42,7632.42,10.009
large,tenure_sweep,MDG-a_2_n500_m50.txt,0.9,10,1,43,7756.24,10.007
large,tenure_sweep,MDG-a_2_n500_m50.txt,0.9,10,2,44,7688.36,10.049
large,tenure_sweep,MDG-a_5_n500_m50.txt,0.9,10,0,42,7662.45,10.03
large,tenure_sweep,MDG-a_5_n500_m50.txt,0.9,10,1,43,7755.23,10.015
large,tenure_sweep,MDG-a_5_n500_m50.txt,0.9,10,2,44,7578.52,10.033
large,tenure_sweep,MDG-a_6_n500_m50.txt,0.9,10,0,42,7726.58,10.014
large,tenure_sweep,MDG-a_6_n500_m50.txt,0.9,10,1,43,7684.76,10.005
large,tenure_sweep,MDG-a_6_n500_m50.txt,0.9,10,2,44,7690.74,10.05
large,tenure_sweep,MDG-a_9_n500_m50.txt,0.9,10,0,42,7722.8,10.022
large,tenure_sweep,MDG-a_9_n500_m50.txt,0.9,10,1,43,7696.73,10.046
large,tenure_sweep,MDG-a_9_n500_m50.txt,0.9,10,2,44,7672.74,10.035
large,tenure_sweep,MDG-a_13_n500_m50.txt,0.9,10,0,42,7764.55,10.045
large,tenure_sweep,MDG-a_13_n500_m50.txt,0.9,10,1,43,7768.54,10.011
large,tenure_sweep,MDG-a_13_n500_m50.txt,0.9,10,2,44,7780.22,10.016
large,tenure_sweep,MDG-a_2_n500_m50.txt,0.9,15,0,42,7649.89,10.013
large,tenure_sweep,MDG-a_2_n500_m50.txt,0.9,15,1,43,7756.24,10.039
large,tenure_sweep,MDG-a_2_n500_m50.txt,0.9,15,2,44,7709.91,10.007
large,tenure_sweep,MDG-a_5_n500_m50.txt,0.9,15,0,42,7662.45,10.035
large,tenure_sweep,MDG-a_5_n500_m50.txt,0.9,15,1,43,7755.23,10.048
large,tenure_sweep,MDG-a_5_n500_m50.txt,0.9,15,2,44,7610.7,10.035
large,tenure_sweep,MDG-a_6_n500_m50.txt,0.9,15,0,42,7726.58,10.014
large,tenure_sweep,MDG-a_6_n500_m50.txt,0.9,15,1,43,7682.77,10.036
